layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
2	xlnet-base-cased	onesentence-avg	0-split	0.453602533949691	0.0	0.643896178147162	0.496032950550609		0.471892370557855		0.471892370557855		0.471732338703807		0.471850330381574	0.8	0.470873671114301	0.735891277071272	0.468335009704756	0.601390166355018	0.467939918202512	0.516307284896072	0.475360595080191	0.487555481489937	0.470301466669151	0.486206591996087	0.474859898185304	0.479942390456873	0.434875254851225		
2	xlnet-base-cased	onesentence-avg	1-split	0.316977475352304	0.0	0.409323003359464	0.373324020858921		0.359753138017943	-0.632455532033676	0.359981060367922	0.240360783345373	0.360821166919834	0.314723549088504	0.360564538204625	0.345968173932464	0.357619338485223	0.368526419094481	0.342210249542831	0.397118908278972	0.33801305635132	0.372439356265476	0.346386397197693	0.361879228761475	0.39490976658599	0.358305535831731	0.44933153497946	0.358861832869442	0.416158075242626		
2	xlnet-base-cased	onesentence-avg	2-split	0.260943518174513	0.0	0.308677797298022	0.306363649356209	0.290398428487486	0.284332401664023	0.28443753821929	0.286069664626086	0.282196695170503	0.298983181469263	0.283018802367642	0.309808683057091	0.281004741777293	0.315013795541455	0.281558291724745	0.293460721949683	0.286231741573571	0.278002128283493	0.28654542672562	0.461072533309516	0.285257541097969	0.662491198700774	0.286229581787317		0.286412573978873			
2	xlnet-base-cased	onesentence-avg	all	0.274993433960641	0.0	0.40253566983834	0.330622201774967	0.290398428487486	0.339846624190499	0.28358645674511	0.348921162666207	0.281230427928596	0.37481882907012	0.281153613756584	0.386065206822625	0.275829555114075	0.395466840005387	0.268244328200773	0.405194869024576	0.271211455425272	0.424504184578598	0.284156426131602	0.454075779765926	0.303389548225022	0.4634872698688	0.318743146486312	0.470605157117497	0.323785255591802	0.436637370476855		
11	xlnet-base-cased	onesentence-avg	0-split	0.161305612229558	1.14564535621366e-71	0.235586343768123	0.207484456800864		0.164510571425086		0.164510571425086		0.164334847351741		0.16427381151103	0.6	0.163908113857663	0.265424969928015	0.161035926554996	0.264930064049446	0.161083518343231	0.181478448128133	0.142984882626591	0.194493804656546	0.117896442494808	0.188850845657548	0.099497743164087	0.179845073696977	0.063859006706092		
11	xlnet-base-cased	onesentence-avg	1-split	0.134381585759003	5.406089825310989e-103	0.172815492022823	0.138846548294982		0.134683535780148	-0.948683298050514	0.134627610493381	0.1659048383649	0.133987527595958	0.191650414628559	0.133864622591739	0.145454446062493	0.127622330886298	0.183278270711389	0.127963442257858	0.143845187263648	0.136593593199843	0.129079120844654	0.127228994706304	0.134337400987775	0.059690517471462	0.13787862976672	0.02306369133197	0.135960786343323	-0.055699613768406		
11	xlnet-base-cased	onesentence-avg	2-split	0.16642964588611	2.659319501616e-184	0.191570190664683	0.152038531357824	0.259539442109816	0.150226793813893	0.236459865226159	0.148685021049644	0.203954871721479	0.153023837777707	0.201400937929923	0.155359287886906	0.196280035065782	0.129179334737267	0.194224826792163	0.149895902799982	0.187734803662829	0.124441438487212	0.183860877257018	0.053905935791438	0.182149720065365	-0.384961101947747	0.181623596004183		0.181161859709521			
11	xlnet-base-cased	onesentence-avg	all	0.137432655837394	8.42560613328329e-282	0.200683294019622	0.151240790950266	0.259539442109816	0.133768575339315	0.235629184534127	0.135358681811859	0.203763610036987	0.142485327395818	0.200772109037762	0.145048649746256	0.19369468221726	0.139868580892526	0.186602581057325	0.144429679485867	0.170808541722186	0.149857294042271	0.158409324406712	0.136855548696972	0.158864559753489	0.107216329926473	0.157926323731819	0.09097054748424	0.153113216973583	0.039773192402065		
5	xlnet-base-cased	average	0-split	0.499421144434986	0.0	0.717452609910905	0.561978707750147		0.522805001881095		0.522805001881095		0.522660339266057		0.522834494214183	0.4	0.521892054954277	0.775124199959062	0.519997132280287	0.632129074133064	0.51436778982546	0.584827461612874	0.511998574594511	0.551856850583934	0.505706783782945	0.540324784626029	0.498313378090573	0.53449117090453	0.451153707613698		
5	xlnet-base-cased	average	1-split	0.462645459788704	0.0	0.582513014530678	0.522837992280286		0.490785122566214	-0.632455532033676	0.491091885174538	0.35394522794021	0.491210067270279	0.467747319021568	0.49117688844142	0.478697292240744	0.485291775171633	0.526213544230238	0.466317860769187	0.541884400431839	0.452137208584473	0.51285237291854	0.417804296672258	0.501630678775965	0.431679985489279	0.493135072958269	0.46371026404649	0.491323588073778	0.290039430253502		
