layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
6	xlnet-base-cased	longest	0-split	0.453060128417387	6.47011858872336e-34	0.643286774380438	0.632080755609172		0.44175664947873		0.44175664947873		0.44175664947873		0.44175664947873		0.433600560336491	0.5	0.426205246231483	0.719905969980394	0.420936056854679	0.628743336661712	0.406238891035047	0.534568861014493	0.458148482229789	0.42800258642836	0.43214990308775	0.44536570967537	0.404412551043682		
6	xlnet-base-cased	longest	1-split	0.281413071837438	2.95083874747503e-20	0.45445236571051	0.383800323206003		0.349084071777526		0.349084071777526		0.335160365952764	1.0	0.302659327460808	0.754248677518314	0.285125949290095	0.666244747490647	0.282567497731906	0.500876759448617	0.247481826056225	0.438196570339125	0.230621413855091	0.388193271402637	0.302642568848713	0.356838986492359	-0.102597835208515	0.353257181284273	0.153226175536575		
6	xlnet-base-cased	longest	2-split	0.319931593232885	3.15713423695388e-22	0.44268764045949	0.285449800146741	0.469742018747145	0.35275898459346	0.422573341446008	0.3383694453526	0.403867612446939	0.318359800194724	0.399554899110115	0.393000234800887	0.356326278668371	0.421220288837204	0.358798635456127	0.559062111401687	0.35167911845447	0.65452531374442	0.353353684234007	0.67806350362081	0.359589897672447		0.367786002214935		0.368555426550178			
6	xlnet-base-cased	longest	all	0.312526406330344	6.85769128297744e-59	0.443707809602938	0.35095664670265	0.469742018747145	0.358719515766255	0.422573341446008	0.355958969569016	0.403867612446939	0.359231014214046	0.411919582862796	0.36609243311257	0.389382896186252	0.352909810374378	0.398384099383367	0.356390521319239	0.386449715328855	0.369184295954193	0.376240077560161	0.377949713115984	0.362972995255608	0.44029383511371	0.345335089771272	0.451656384081251	0.351707123741525	0.481060734485257		
9	xlnet-base-cased	avg-omitfirst	0-split	0.394173067119263	2.28178505320302e-25	0.555671821271489	0.519039540156756		0.392075432775057		0.392075432775057		0.392075432775057		0.392075432775057		0.383256392214892	0.5	0.377799605504419	0.604332830191875	0.373244609986181	0.545793274943672	0.366449082256311	0.451088874386595	0.394693496896849	0.384885140243267	0.356548336137752	0.400109958452934	0.258199074493904		
9	xlnet-base-cased	avg-omitfirst	1-split	0.258702863328521	2.93893839703815e-17	0.3929233456173	0.412318106213243		0.324382918970575		0.324382918970575		0.308723065888854	1.0	0.277762003246295	0.786721223321451	0.259943807143467	0.612703984916719	0.234732332657094	0.503070367832419	0.175931475445381	0.455186732374742	0.279509510742819	0.339534158096745	0.401491026928115	0.316352143538784	-0.055962455568281	0.328290433666337	-0.357527742918674		
9	xlnet-base-cased	avg-omitfirst	2-split	0.331190889100792	8.58115796953861e-24	0.454912355009879	0.310400634320254	0.517156670097188	0.415027231909791	0.470795630508458	0.424670856438247	0.471664758278217	0.368095591525219	0.458535496080748	0.428448386553155	0.417931894189361	0.539697566839743	0.399559681011843	0.509142227770175	0.41252598296732	0.623158285929192	0.409962117417088	0.66111191603029	0.41870720422545		0.423259647095856		0.424949738849198			
9	xlnet-base-cased	avg-omitfirst	all	0.294289439023159	4.04173546661338e-52	0.442076546805991	0.368666561853391	0.517156670097188	0.355674094699354	0.470795630508458	0.353987614185036	0.471664758278217	0.336407500921716	0.467728265967157	0.340336367363858	0.437385358097767	0.33159053991191	0.433460799908048	0.31813630460263	0.437692406761598	0.319015073332668	0.423426269478648	0.344933865757632	0.386868720566007	0.381681503205308	0.365530303725644	0.374964853149951	0.367115915806297	0.324772767830118		
7	xlnet-base-cased	average	0-split	0.439336717929843	9.035276126244191e-32	0.622933944125213	0.581980413895199		0.431607499122047		0.431607499122047		0.431607499122047		0.431607499122047		0.423319647283051	0.5	0.41728086042717	0.680205273106475	0.412973963597249	0.585545845504721	0.399572937342716	0.507618707836997	0.449500916920613	0.417321040919427	0.436780667908699	0.431740302251362	0.389846903760723		
7	xlnet-base-cased	average	1-split	0.279092908112645	6.157727153039851e-20	0.454104014683803	0.409003953377496		0.324567712771539		0.324567712771539		0.30933019119267	0.9	0.280649264598603	0.702587809195142	0.255137349238516	0.609077176274962	0.250507191791216	0.46429385854209	0.184460408308512	0.447325478915077	0.204976280957453	0.367458937597519	0.305229257471351	0.329573215601397	-0.088607221316445	0.332502400899733	-0.23835182861245		
