layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
7	bert	onesentence-avg	0-split	0.195100867215074	4.38530238790283E-44	0.331810733072393	0.260451877637618		0.222387383666138		0.222387383666138		0.222387383666138		0.222356539433046		0.22332275367073	0.024229133665419	0.224919800913985	0.213108882121256	0.22907598308574	0.253865007322753	0.232726013241301	0.232235293107145	0.255660973146691	0.229406719540123	0.279418699235695	0.227159791001623	0.285159825113985		
7	bert	onesentence-avg	1-split	0.220086630987814	6.64328608167801E-56	0.285599176895967	0.289696836796227		0.233267848318216		0.233267848318216		0.235752571487731	0.023952525238265	0.236270501524083	0.187731465323216	0.242168251567852	0.195423801945373	0.222557545546867	0.240471104064696	0.157662473352971	0.25269504438807	0.194397356478744	0.234870340857437	0.359092423229804	0.232944056106674		0.233267848318216			
7	bert	onesentence-avg	2-split	0.348285197742804	1.46048902234683E-142	0.431339035471914	0.35847613850076	0.412054786638662	0.355083133486472	0.407102281780245	0.354921791332075	0.375458315837684	0.358668059595555	0.37518440737183	0.3750460503268	0.358795477762615	0.328986886158181	0.366203055129822	0.160100421978842	0.361343202376387	-0.5	0.35585398740069		0.355190793955524		0.355190793955524		0.355190793955524			
7	bert	onesentence-avg	all	0.183771236625053	4.58480654120236E-114	0.358429797847059	0.320017549703854	0.412054786638662	0.222054682786593	0.407102281780245	0.225692514654814	0.376837188429854	0.228310006836896	0.376316217795086	0.228266301412936	0.356047542429248	0.229845483366226	0.349380255025698	0.226926398313106	0.328718025833976	0.225746698954855	0.31564875812566	0.231751576938511	0.301552565543064	0.25620999669577	0.280458395720415	0.279418699235695	0.263582764812274	0.285159825113985		
6	bert	longest	0-split	0.331564465895804	1.3681861707104E-128	0.495633702589243	0.39201042985205		0.344063035842072		0.344063035842072		0.344063035842072		0.344049655647402		0.344914396591212	0.196035717838391	0.346795603337182	0.346482526445491	0.343855874514378	0.405113540687818	0.349413692894019	0.355575415830896	0.383283316994441	0.335047072986078	0.404390315030951	0.335331516344638	0.422959714570299		
6	bert	longest	1-split	0.245345007723425	1.92173238055791E-69	0.279337042021482	0.295870753462584		0.274507803202247		0.274507803202247		0.276544356933077	-0.431145454288773	0.279286320313492	0.146121552020248	0.275656377157147	0.26535026287364	0.263944090528659	0.286844773994302	0.303845705647347	0.27080091091084	0.175600780770757	0.281602975332546	-0.051298917604258	0.273643006889972		0.274507803202247			
6	bert	longest	2-split	0.229655254610256	7.66770422427707E-61	0.270198245054415	0.226216284744625	0.187933850427855	0.241702344687142	0.195226270956234	0.237810424197065	0.23828499971842	0.229851604179856	0.243345209391709	0.243676450409852	0.232661023742378	0.23595093076502	0.234872567247121	0.176667728110237	0.237074551764138	-0.5	0.235953717626959		0.235224015384573		0.235224015384573		0.235224015384573			
6	bert	longest	all	0.250520854014989	2.0964227273639E-213	0.279814742275976	0.208625391309547	0.187933850427855	0.259098640099981	0.195226270956234	0.259260616495442	0.239836688961427	0.267822438265512	0.242008870389348	0.282172842797395	0.23064143626372	0.297515743089747	0.233758138528999	0.314611042376582	0.23305300681854	0.332152082572447	0.215387791329021	0.344530560639958	0.206058307184343	0.383421766237756	0.207943037927232	0.404390315030951	0.219071272366317	0.422959714570299		
7	bert	average	0-split	0.350253607075524	2.90013162937291E-144	0.492925879056865	0.388521991882542		0.363852853227853		0.363852853227853		0.363852853227853		0.363836525236111		0.364945206403842	0.006607945545114	0.367022350763176	0.28658965860484	0.3629286867206	0.397435822047852	0.36864288708419	0.357914154652418	0.402991389623547	0.341285620828407	0.421901549633969	0.345101244821076	0.444593581950779		
7	bert	average	1-split	0.359607144117605	1.60708874491037E-152	0.387270652258826	0.428327815636531		0.409185960096967		0.409185960096967		0.408542530152334	0.311382828097447	0.410198534221274	0.341869903915877	0.400810181106674	0.444723051526198	0.397532919821627	0.415763542142234	0.436941472823919	0.40192529035404	0.515932033469099	0.407172264523972	0.820782681668123	0.407614025489553		0.409185960096967			
