	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	bert	0.5490605427974948	36	192	24	227
1	average	1-split-all	0	bert	0.38461538461538464	0	72	0	45
2	average	2-split-all	0	bert	0.39617486338797814	65	204	17	80
3	average	ALL	0	bert	0.5304978569073524	552	2481	367	2666
4	average	SAME	0	bert	0.5294413688978359	552	1503	367	1552
5	average	DIFF	0	bert	0.5325047801147228	0	978	0	1114
6	average	1-split-DIFF	0	bert	0.38461538461538464	0	72	0	45
7	average	2-split-SAME	0	bert	0.3905109489051095	65	150	17	42
8	average	2-split-DIFF	0	bert	0.41304347826086957	0	54	0	38
9	average	0-split-dev-SAME	0	bert	0.5480769230769231	36	117	24	135
10	average	0-split-dev-DIFF	0	bert	0.5508982035928144	0	75	0	92
11	average	1-split-bal	0	bert	0.5	0	45	0	45
12	average	2-split-bal	0	bert	0.5309278350515464	23	74	17	80
13	average	0-split-dev	1	bert	0.5365344467640919	136	92	130	121
14	average	1-split-all	1	bert	0.38461538461538464	0	72	0	45
15	average	2-split-all	1	bert	0.6994535519125683	232	37	73	24
16	average	ALL	1	bert	0.5624793933399275	1853	1180	1474	1559
17	average	SAME	1	bert	0.5775037745344741	1834	221	1458	461
18	average	DIFF	1	bert	0.5339388145315488	19	959	16	1098
19	average	1-split-DIFF	1	bert	0.38461538461538464	0	72	0	45
20	average	2-split-SAME	1	bert	0.7846715328467153	214	1	58	1
21	average	2-split-DIFF	1	bert	0.44565217391304346	18	36	15	23
22	average	0-split-dev-SAME	1	bert	0.5288461538461539	136	17	130	29
23	average	0-split-dev-DIFF	1	bert	0.5508982035928144	0	75	0	92
24	average	1-split-bal	1	bert	0.5	0	45	0	45
25	average	2-split-bal	1	bert	0.5618556701030928	85	12	73	24
26	average	0-split-dev	2	bert	0.5636743215031316	135	93	116	135
27	average	1-split-all	2	bert	0.38461538461538464	0	72	0	45
28	average	2-split-all	2	bert	0.7185792349726776	250	19	84	13
29	average	ALL	2	bert	0.5881965051104517	1850	1183	1315	1718
30	average	SAME	2	bert	0.6104680422747861	1791	264	1284	635
31	average	DIFF	2	bert	0.5458891013384322	59	919	31	1083
32	average	1-split-DIFF	2	bert	0.38461538461538464	0	72	0	45
33	average	2-split-SAME	2	bert	0.7846715328467153	215	0	59	0
34	average	2-split-DIFF	2	bert	0.5217391304347826	35	19	25	13
35	average	0-split-dev-SAME	2	bert	0.5641025641025641	133	20	116	43
36	average	0-split-dev-DIFF	2	bert	0.562874251497006	2	73	0	92
37	average	1-split-bal	2	bert	0.5	0	45	0	45
38	average	2-split-bal	2	bert	0.5412371134020618	92	5	84	13
39	average	0-split-dev	3	bert	0.6137787056367432	138	90	95	156
40	average	1-split-all	3	bert	0.38461538461538464	0	72	0	45
41	average	2-split-all	3	bert	0.726775956284153	255	14	86	11
42	average	ALL	3	bert	0.6219914276294098	1858	1175	1118	1915
43	average	SAME	3	bert	0.6484650226472068	1704	351	1046	873
44	average	DIFF	3	bert	0.5717017208413002	154	824	72	1042
45	average	1-split-DIFF	3	bert	0.38461538461538464	0	72	0	45
46	average	2-split-SAME	3	bert	0.7846715328467153	215	0	59	0
47	average	2-split-DIFF	3	bert	0.5543478260869565	40	14	27	11
48	average	0-split-dev-SAME	3	bert	0.6346153846153846	133	20	94	65
49	average	0-split-dev-DIFF	3	bert	0.5748502994011976	5	70	1	91
50	average	1-split-bal	3	bert	0.5	0	45	0	45
51	average	2-split-bal	3	bert	0.5309278350515464	92	5	86	11
52	average	0-split-dev	4	bert	0.6471816283924844	148	80	89	162
53	average	1-split-all	4	bert	0.41025641025641024	4	68	1	44
54	average	2-split-all	4	bert	0.7349726775956285	260	9	88	9
55	average	ALL	4	bert	0.6445763270689087	1909	1124	1032	2001
56	average	SAME	4	bert	0.6675893306492199	1660	395	926	993
57	average	DIFF	4	bert	0.6008604206500956	249	729	106	1008
58	average	1-split-DIFF	4	bert	0.41025641025641024	4	68	1	44
59	average	2-split-SAME	4	bert	0.7846715328467153	215	0	59	0
