	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	characterbert	0.534446764091858	94	134	89	162
1	average	1-split-all	0	characterbert	0.38461538461538464	0	72	0	45
2	average	2-split-all	0	characterbert	0.46994535519125685	103	166	28	69
3	average	ALL	0	characterbert	0.5339597757995385	1177	1856	971	2062
4	average	SAME	0	characterbert	0.5349773527931555	1177	878	970	949
5	average	DIFF	0	characterbert	0.5320267686424475	0	978	1	1113
6	average	1-split-SAME	0	characterbert		[]	[]	[]	[]
7	average	1-split-DIFF	0	characterbert	0.38461538461538464	0	72	0	45
8	average	2-split-SAME	0	characterbert	0.48905109489051096	103	112	28	31
9	average	2-split-DIFF	0	characterbert	0.41304347826086957	0	54	0	38
10	average	0-split-dev-SAME	0	characterbert	0.5256410256410257	94	59	89	70
11	average	0-split-dev-DIFF	0	characterbert	0.5508982035928144	0	75	0	92
12	average	1-split-bal	0	characterbert	0.5	0	45	0	45
13	average	2-split-bal	0	characterbert	0.5257731958762887	33	64	28	69
14	average	0-split-dev	1	characterbert	0.5302713987473904	120	108	117	134
15	average	1-split-all	1	characterbert	0.39316239316239315	2	70	1	44
16	average	2-split-all	1	characterbert	0.5628415300546448	144	125	35	62
17	average	ALL	1	characterbert	0.5433564127926146	1463	1570	1200	1833
18	average	SAME	1	characterbert	0.5478107700050328	1450	605	1192	727
19	average	DIFF	1	characterbert	0.5348948374760994	13	965	8	1106
20	average	1-split-SAME	1	characterbert		[]	[]	[]	[]
21	average	1-split-DIFF	1	characterbert	0.39316239316239315	2	70	1	44
22	average	2-split-SAME	1	characterbert	0.6131386861313869	144	71	35	24
23	average	2-split-DIFF	1	characterbert	0.41304347826086957	0	54	0	38
24	average	0-split-dev-SAME	1	characterbert	0.5192307692307693	119	34	116	43
25	average	0-split-dev-DIFF	1	characterbert	0.5508982035928144	1	74	1	91
26	average	1-split-bal	1	characterbert	0.5111111111111111	2	43	1	44
27	average	2-split-bal	1	characterbert	0.5979381443298969	54	43	35	62
28	average	0-split-dev	2	characterbert	0.569937369519833	135	93	113	138
29	average	1-split-all	2	characterbert	0.4017094017094017	7	65	5	40
30	average	2-split-all	2	characterbert	0.6284153005464481	180	89	47	50
31	average	ALL	2	characterbert	0.5797889878008572	1640	1393	1156	1877
32	average	SAME	2	characterbert	0.591343734272773	1549	506	1118	801
33	average	DIFF	2	characterbert	0.5578393881453155	91	887	38	1076
34	average	1-split-SAME	2	characterbert		[]	[]	[]	[]
35	average	1-split-DIFF	2	characterbert	0.4017094017094017	7	65	5	40
36	average	2-split-SAME	2	characterbert	0.6824817518248175	173	42	45	14
37	average	2-split-DIFF	2	characterbert	0.4673913043478261	7	47	2	36
38	average	0-split-dev-SAME	2	characterbert	0.5673076923076923	126	27	108	51
39	average	0-split-dev-DIFF	2	characterbert	0.5748502994011976	9	66	5	87
40	average	1-split-bal	2	characterbert	0.5	5	40	5	40
41	average	2-split-bal	2	characterbert	0.5773195876288659	62	35	47	50
42	average	0-split-dev	3	characterbert	0.605427974947808	145	83	106	145
43	average	1-split-all	3	characterbert	0.4188034188034188	10	62	6	39
44	average	2-split-all	3	characterbert	0.6612021857923497	192	77	47	50
45	average	ALL	3	characterbert	0.6007253544345532	1754	1279	1143	1890
46	average	SAME	3	characterbert	0.6144942123804731	1601	454	1078	841
47	average	DIFF	3	characterbert	0.5745697896749522	153	825	65	1049
48	average	1-split-SAME	3	characterbert		[]	[]	[]	[]
49	average	1-split-DIFF	3	characterbert	0.4188034188034188	10	62	6	39
50	average	2-split-SAME	3	characterbert	0.7262773722627737	184	31	44	15
51	average	2-split-DIFF	3	characterbert	0.4673913043478261	8	46	3	35
52	average	0-split-dev-SAME	3	characterbert	0.6025641025641025	128	25	99	60
53	average	0-split-dev-DIFF	3	characterbert	0.6107784431137725	17	58	7	85
54	average	1-split-bal	3	characterbert	0.5111111111111111	7	38	6	39
55	average	2-split-bal	3	characterbert	0.6082474226804123	68	29	47	50
56	average	0-split-dev	4	characterbert	0.6346555323590815	150	78	97	154
57	average	1-split-all	4	characterbert	0.452991452991453	14	58	6	39
58	average	2-split-all	4	characterbert	0.6612021857923497	191	78	46	51
59	average	ALL	4	characterbert	0.6213320145070886	1842	1191	1106	1927
60	average	SAME	4	characterbert	0.6321087065928536	1641	414	1048	871
61	average	DIFF	4	characterbert	0.6008604206500956	201	777	58	1056
62	average	1-split-SAME	4	characterbert		[]	[]	[]	[]
63	average	1-split-DIFF	4	characterbert	0.452991452991453	14	58	6	39
64	average	2-split-SAME	4	characterbert	0.718978102189781	181	34	43	16
65	average	2-split-DIFF	4	characterbert	0.4891304347826087	10	44	3	35
66	average	0-split-dev-SAME	4	characterbert	0.625	129	24	93	66
67	average	0-split-dev-DIFF	4	characterbert	0.6526946107784432	21	54	4	88
68	average	1-split-bal	4	characterbert	0.5333333333333333	9	36	6	39
69	average	2-split-bal	4	characterbert	0.6082474226804123	67	30	46	51
70	average	0-split-dev	5	characterbert	0.6576200417536534	155	73	91	160
71	average	1-split-all	5	characterbert	0.47863247863247865	16	56	5	40
72	average	2-split-all	5	characterbert	0.6557377049180327	190	79	47	50
73	average	ALL	5	characterbert	0.629080118694362	1846	1187	1063	1970
74	average	SAME	5	characterbert	0.6409159536990438	1617	438	989	930
75	average	DIFF	5	characterbert	0.6065965583173997	229	749	74	1040
