	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	lemma-bert	0.5594989561586639	52	176	35	216
1	average	1-split-all	0	lemma-bert	0.4017094017094017	9	63	7	38
2	average	2-split-all	0	lemma-bert	0.40710382513661203	74	195	22	75
3	average	ALL	0	lemma-bert	0.5344543356412793	698	2335	489	2544
4	average	SAME	0	lemma-bert	0.5294413688978359	552	1503	367	1552
5	average	DIFF	0	lemma-bert	0.5439770554493308	146	832	122	992
6	average	1-split-SAME	0	lemma-bert		[]	[]	[]	[]
7	average	1-split-DIFF	0	lemma-bert	0.4017094017094017	9	63	7	38
8	average	2-split-SAME	0	lemma-bert	0.3905109489051095	65	150	17	42
9	average	2-split-DIFF	0	lemma-bert	0.45652173913043476	9	45	5	33
10	average	0-split-dev-SAME	0	lemma-bert	0.5480769230769231	36	117	24	135
11	average	0-split-dev-DIFF	0	lemma-bert	0.5808383233532934	16	59	11	81
12	average	1-split-bal	0	lemma-bert	0.4666666666666667	4	41	7	38
13	average	2-split-bal	0	lemma-bert	0.5154639175257731	25	72	22	75
14	average	0-split-dev	1	lemma-bert	0.5824634655532359	142	86	114	137
15	average	1-split-all	1	lemma-bert	0.5641025641025641	53	19	32	13
16	average	2-split-all	1	lemma-bert	0.7103825136612022	251	18	88	9
17	average	ALL	1	lemma-bert	0.6165512693702605	1836	1197	1129	1904
18	average	SAME	1	lemma-bert	0.6200301962757927	1335	720	790	1129
19	average	DIFF	1	lemma-bert	0.609942638623327	501	477	339	775
20	average	1-split-SAME	1	lemma-bert		[]	[]	[]	[]
21	average	1-split-DIFF	1	lemma-bert	0.5641025641025641	53	19	32	13
22	average	2-split-SAME	1	lemma-bert	0.7664233576642335	202	13	51	8
23	average	2-split-DIFF	1	lemma-bert	0.5434782608695652	49	5	37	1
24	average	0-split-dev-SAME	1	lemma-bert	0.5865384615384616	102	51	78	81
25	average	0-split-dev-DIFF	1	lemma-bert	0.5748502994011976	40	35	36	56
26	average	1-split-bal	1	lemma-bert	0.5111111111111111	33	12	32	13
27	average	2-split-bal	1	lemma-bert	0.5	88	9	88	9
28	average	0-split-dev	2	lemma-bert	0.6263048016701461	154	74	105	146
29	average	1-split-all	2	lemma-bert	0.5897435897435898	55	17	31	14
30	average	2-split-all	2	lemma-bert	0.7349726775956285	266	3	94	3
