	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	lemma-characterbert	0.5427974947807933	68	160	59	192
1	average	1-split-all	0	lemma-characterbert	0.4700854700854701	19	53	9	36
2	average	2-split-all	0	lemma-characterbert	0.4262295081967213	82	187	23	74
3	average	ALL	0	lemma-characterbert	0.5364325750082427	875	2158	654	2379
4	average	SAME	0	lemma-characterbert	0.5301962757926523	677	1378	489	1430
5	average	DIFF	0	lemma-characterbert	0.5482791586998088	198	780	165	949
6	average	1-split-SAME	0	lemma-characterbert		[]	[]	[]	[]
7	average	1-split-DIFF	0	lemma-characterbert	0.4700854700854701	19	53	9	36
8	average	2-split-SAME	0	lemma-characterbert	0.3978102189781022	68	147	18	41
9	average	2-split-DIFF	0	lemma-characterbert	0.5108695652173914	14	40	5	33
10	average	0-split-dev-SAME	0	lemma-characterbert	0.532051282051282	51	102	44	115
11	average	0-split-dev-DIFF	0	lemma-characterbert	0.562874251497006	17	58	15	77
12	average	1-split-bal	0	lemma-characterbert	0.5222222222222223	11	34	9	36
13	average	2-split-bal	0	lemma-characterbert	0.5309278350515464	29	68	23	74
14	average	0-split-dev	1	lemma-characterbert	0.5949895615866388	123	105	89	162
15	average	1-split-all	1	lemma-characterbert	0.5384615384615384	31	41	13	32
16	average	2-split-all	1	lemma-characterbert	0.5163934426229508	127	142	35	62
17	average	ALL	1	lemma-characterbert	0.5680844048796571	1408	1625	995	2038
18	average	SAME	1	lemma-characterbert	0.566431806743835	1075	980	743	1176
19	average	DIFF	1	lemma-characterbert	0.5712237093690249	333	645	252	862
20	average	1-split-SAME	1	lemma-characterbert		[]	[]	[]	[]
21	average	1-split-DIFF	1	lemma-characterbert	0.5384615384615384	31	41	13	32
22	average	2-split-SAME	1	lemma-characterbert	0.5182481751824818	108	107	25	34
23	average	2-split-DIFF	1	lemma-characterbert	0.5108695652173914	19	35	10	28
24	average	0-split-dev-SAME	1	lemma-characterbert	0.5769230769230769	88	65	67	92
25	average	0-split-dev-DIFF	1	lemma-characterbert	0.6287425149700598	35	40	22	70
26	average	1-split-bal	1	lemma-characterbert	0.5777777777777777	20	25	13	32
27	average	2-split-bal	1	lemma-characterbert	0.5309278350515464	41	56	35	62
28	average	0-split-dev	2	lemma-characterbert	0.6075156576200418	147	81	107	144
29	average	1-split-all	2	lemma-characterbert	0.5726495726495726	40	32	18	27
30	average	2-split-all	2	lemma-characterbert	0.6256830601092896	178	91	46	51
31	average	ALL	2	lemma-characterbert	0.595944609297725	1665	1368	1083	1950
32	average	SAME	2	lemma-characterbert	0.6004026170105687	1259	796	792	1127
33	average	DIFF	2	lemma-characterbert	0.5874760994263862	406	572	291	823
34	average	1-split-SAME	2	lemma-characterbert		[]	[]	[]	[]
35	average	1-split-DIFF	2	lemma-characterbert	0.5726495726495726	40	32	18	27
36	average	2-split-SAME	2	lemma-characterbert	0.6496350364963503	151	64	32	27
37	average	2-split-DIFF	2	lemma-characterbert	0.5543478260869565	27	27	14	24
38	average	0-split-dev-SAME	2	lemma-characterbert	0.6121794871794872	109	44	77	82
39	average	0-split-dev-DIFF	2	lemma-characterbert	0.5988023952095808	38	37	30	62
40	average	1-split-bal	2	lemma-characterbert	0.5777777777777777	25	20	18	27
41	average	2-split-bal	2	lemma-characterbert	0.5618556701030928	58	39	46	51
42	average	0-split-dev	3	lemma-characterbert	0.6325678496868476	160	68	108	143
43	average	1-split-all	3	lemma-characterbert	0.6239316239316239	45	27	17	28
44	average	2-split-all	3	lemma-characterbert	0.6557377049180327	193	76	50	47
45	average	ALL	3	lemma-characterbert	0.6285855588526211	1835	1198	1055	1978
46	average	SAME	3	lemma-characterbert	0.6283341721187721	1353	702	775	1144
47	average	DIFF	3	lemma-characterbert	0.6290630975143403	482	496	280	834
48	average	1-split-SAME	3	lemma-characterbert		[]	[]	[]	[]
49	average	1-split-DIFF	3	lemma-characterbert	0.6239316239316239	45	27	17	28
50	average	2-split-SAME	3	lemma-characterbert	0.6751824817518248	161	54	35	24
51	average	2-split-DIFF	3	lemma-characterbert	0.5978260869565217	32	22	15	23
52	average	0-split-dev-SAME	3	lemma-characterbert	0.6346153846153846	115	38	76	83
53	average	0-split-dev-DIFF	3	lemma-characterbert	0.6287425149700598	45	30	32	60
54	average	1-split-bal	3	lemma-characterbert	0.6111111111111112	27	18	17	28
55	average	2-split-bal	3	lemma-characterbert	0.5773195876288659	65	32	50	47
56	average	0-split-dev	4	lemma-characterbert	0.6346555323590815	161	67	108	143
57	average	1-split-all	4	lemma-characterbert	0.6239316239316239	45	27	17	28
58	average	2-split-all	4	lemma-characterbert	0.6420765027322405	189	80	51	46
59	average	ALL	4	lemma-characterbert	0.641279261457303	1925	1108	1068	1965
60	average	SAME	4	lemma-characterbert	0.6401610468042275	1403	652	778	1141
61	average	DIFF	4	lemma-characterbert	0.6434034416826003	522	456	290	824
62	average	1-split-SAME	4	lemma-characterbert		[]	[]	[]	[]
63	average	1-split-DIFF	4	lemma-characterbert	0.6239316239316239	45	27	17	28
64	average	2-split-SAME	4	lemma-characterbert	0.6861313868613139	164	51	35	24
65	average	2-split-DIFF	4	lemma-characterbert	0.5108695652173914	25	29	16	22
66	average	0-split-dev-SAME	4	lemma-characterbert	0.6442307692307693	116	37	74	85
67	average	0-split-dev-DIFF	4	lemma-characterbert	0.6167664670658682	45	30	34	58
68	average	1-split-bal	4	lemma-characterbert	0.5888888888888889	25	20	17	28
69	average	2-split-bal	4	lemma-characterbert	0.5721649484536082	65	32	51	46
70	average	0-split-dev	5	lemma-characterbert	0.6450939457202505	156	72	98	153
71	average	1-split-all	5	lemma-characterbert	0.6495726495726496	46	26	15	30
72	average	2-split-all	5	lemma-characterbert	0.6311475409836066	188	81	54	43
73	average	ALL	5	lemma-characterbert	0.6454005934718101	1941	1092	1059	1974
74	average	SAME	5	lemma-characterbert	0.6474584801207851	1413	642	759	1160
75	average	DIFF	5	lemma-characterbert	0.641491395793499	528	450	300	814
76	average	1-split-SAME	5	lemma-characterbert		[]	[]	[]	[]
