	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	lemma-xlnet-base-cased	0.5084337349397591	179	24	180	32
1	average	1-split-all	0	lemma-xlnet-base-cased	0.5896414342629482	89	133	73	207
2	average	2-split-all	0	lemma-xlnet-base-cased	0.6646706586826348	291	45	123	42
3	average	ALL	0	lemma-xlnet-base-cased	0.5492911308935048	2582	451	2283	750
4	average	SAME	0	lemma-xlnet-base-cased	0.5392551585304479	1796	259	1572	347
5	average	DIFF	0	lemma-xlnet-base-cased	0.5683556405353728	786	192	711	403
6	average	1-split-SAME	0	lemma-xlnet-base-cased	0.5633802816901409	0	62	0	80
7	average	1-split-DIFF	0	lemma-xlnet-base-cased	0.6	89	71	73	127
8	average	2-split-SAME	0	lemma-xlnet-base-cased	0.6464646464646465	250	32	108	6
9	average	2-split-DIFF	0	lemma-xlnet-base-cased	0.7333333333333333	41	13	15	36
10	average	0-split-dev-SAME	0	lemma-xlnet-base-cased	0.4931506849315068	127	14	134	17
11	average	0-split-dev-DIFF	0	lemma-xlnet-base-cased	0.5447154471544715	52	10	46	15
12	average	1-split-bal	0	lemma-xlnet-base-cased	0.5896414342629482	89	133	73	207
13	average	2-split-bal	0	lemma-xlnet-base-cased	0.5454545454545454	138	27	123	42
14	average	0-split-dev	1	lemma-xlnet-base-cased	0.5542168674698795	137	66	119	93
15	average	1-split-all	1	lemma-xlnet-base-cased	0.5856573705179283	73	149	59	221
16	average	2-split-all	1	lemma-xlnet-base-cased	0.6686626746506986	291	45	121	44
17	average	ALL	1	lemma-xlnet-base-cased	0.6076491922189251	2058	975	1405	1628
18	average	SAME	1	lemma-xlnet-base-cased	0.6049320583794665	1508	547	1023	896
19	average	DIFF	1	lemma-xlnet-base-cased	0.612810707456979	550	428	382	732
20	average	1-split-SAME	1	lemma-xlnet-base-cased	0.5633802816901409	0	62	0	80
21	average	1-split-DIFF	1	lemma-xlnet-base-cased	0.5944444444444444	73	87	59	141
22	average	2-split-SAME	1	lemma-xlnet-base-cased	0.6540404040404041	251	31	106	8
23	average	2-split-DIFF	1	lemma-xlnet-base-cased	0.7238095238095238	40	14	15	36
24	average	0-split-dev-SAME	1	lemma-xlnet-base-cased	0.5342465753424658	99	42	94	57
25	average	0-split-dev-DIFF	1	lemma-xlnet-base-cased	0.6016260162601627	38	24	25	36
