	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	xlnet-base-cased	0.4939759036144578	127	76	134	78
1	average	1-split-all	0	xlnet-base-cased	0.5577689243027888	0	222	0	280
2	average	2-split-all	0	xlnet-base-cased	0.6307385229540918	261	75	110	55
3	average	ALL	0	xlnet-base-cased	0.5385756676557863	1808	1225	1574	1459
4	average	SAME	0	xlnet-base-cased	0.5400100654252642	1800	255	1573	346
5	average	DIFF	0	xlnet-base-cased	0.5358508604206501	8	970	1	1113
6	average	1-split-SAME	0	xlnet-base-cased	0.5633802816901409	0	62	0	80
7	average	1-split-DIFF	0	xlnet-base-cased	0.5555555555555556	0	160	0	200
8	average	2-split-SAME	0	xlnet-base-cased	0.6515151515151515	253	29	109	5
9	average	2-split-DIFF	0	xlnet-base-cased	0.5523809523809524	8	46	1	50
10	average	0-split-dev-SAME	0	xlnet-base-cased	0.4931506849315068	127	14	134	17
11	average	0-split-dev-DIFF	0	xlnet-base-cased	0.4959349593495935	0	62	0	61
12	average	1-split-bal	0	xlnet-base-cased	0.5577689243027888	0	222	0	280
13	average	2-split-bal	0	xlnet-base-cased	0.5393939393939394	123	42	110	55
14	average	0-split-dev	1	xlnet-base-cased	0.491566265060241	122	81	130	82
15	average	1-split-all	1	xlnet-base-cased	0.5577689243027888	0	222	0	280
16	average	2-split-all	1	xlnet-base-cased	0.6606786427145709	278	58	112	53
17	average	ALL	1	xlnet-base-cased	0.5496208374546654	1783	1250	1482	1551
18	average	SAME	1	xlnet-base-cased	0.5528434826371414	1753	302	1475	444
19	average	DIFF	1	xlnet-base-cased	0.5434990439770554	30	948	7	1107
20	average	1-split-SAME	1	xlnet-base-cased	0.5633802816901409	0	62	0	80
21	average	1-split-DIFF	1	xlnet-base-cased	0.5555555555555556	0	160	0	200
22	average	2-split-SAME	1	xlnet-base-cased	0.6666666666666666	259	23	109	5
23	average	2-split-DIFF	1	xlnet-base-cased	0.638095238095238	19	35	3	48
24	average	0-split-dev-SAME	1	xlnet-base-cased	0.4897260273972603	122	19	130	21
25	average	0-split-dev-DIFF	1	xlnet-base-cased	0.4959349593495935	0	62	0	61
26	average	1-split-bal	1	xlnet-base-cased	0.5577689243027888	0	222	0	280
27	average	2-split-bal	1	xlnet-base-cased	0.5636363636363636	133	32	112	53
28	average	0-split-dev	2	xlnet-base-cased	0.5397590361445783	115	88	103	109
29	average	1-split-all	2	xlnet-base-cased	0.5557768924302788	3	219	4	276
30	average	2-split-all	2	xlnet-base-cased	0.6806387225548902	295	41	119	46
31	average	ALL	2	xlnet-base-cased	0.6008902077151336	1689	1344	1077	1956
32	average	SAME	2	xlnet-base-cased	0.6157523905385003	1556	499	1028	891
33	average	DIFF	2	xlnet-base-cased	0.5726577437858509	133	845	49	1065
34	average	1-split-SAME	2	xlnet-base-cased	0.5633802816901409	0	62	0	80
35	average	1-split-DIFF	2	xlnet-base-cased	0.5527777777777778	3	157	4	196
36	average	2-split-SAME	2	xlnet-base-cased	0.6767676767676768	264	18	110	4
37	average	2-split-DIFF	2	xlnet-base-cased	0.6952380952380952	31	23	9	42
38	average	0-split-dev-SAME	2	xlnet-base-cased	0.5445205479452054	109	32	101	50
39	average	0-split-dev-DIFF	2	xlnet-base-cased	0.5284552845528455	6	56	2	59
40	average	1-split-bal	2	xlnet-base-cased	0.5557768924302788	3	219	4	276
41	average	2-split-bal	2	xlnet-base-cased	0.5696969696969697	142	23	119	46
42	average	0-split-dev	3	xlnet-base-cased	0.5855421686746988	120	83	89	123
43	average	1-split-all	3	xlnet-base-cased	0.5617529880478087	13	209	11	269
44	average	2-split-all	3	xlnet-base-cased	0.6846307385229541	296	40	118	47
45	average	ALL	3	xlnet-base-cased	0.6162215628090999	1696	1337	991	2042
46	average	SAME	3	xlnet-base-cased	0.6295923502767992	1496	559	913	1006
